Folder,Depth,File Count,Known Page Total,Files Missing Page Count,Total Size,File Types
"Apara v. The Catalyst Nightclub, et al (Large File - No Med Chron)",0,2,N/A,2,55.9 KB,".xlsx(1), .docx(1)"
"Apara v. The Catalyst Nightclub, et al (Large File - No Med Chron)/**Records Received from Attorney (in Original Format)/Received on 02.09.2026",2,35,1015,0,112.3 MB,.pdf(35)
"Apara v. The Catalyst Nightclub, et al (Large File - No Med Chron)/Article",1,1,35,0,24.3 MB,.pdf(1)
"Apara v. The Catalyst Nightclub, et al (Large File - No Med Chron)/Complaint(s) & Answer(s)",1,5,41,0,2.1 MB,.pdf(5)
"Apara v. The Catalyst Nightclub, et al (Large File - No Med Chron)/Depositions",1,1,123,0,830.2 KB,.pdf(1)
"Apara v. The Catalyst Nightclub, et al (Large File - No Med Chron)/Expert Correspondence",1,1,1,0,46.2 KB,.pdf(1)
"Apara v. The Catalyst Nightclub, et al (Large File - No Med Chron)/Interrogatories",1,4,42,0,8.0 MB,.pdf(4)
"Apara v. The Catalyst Nightclub, et al (Large File - No Med Chron)/Interrogatories/**Duplicates",2,3,24,0,10.1 MB,.pdf(3)
"Apara v. The Catalyst Nightclub, et al (Large File - No Med Chron)/Mediation Brief (*includes lost wages & lien info)",1,3,176,0,6.0 MB,.pdf(3)
"Apara v. The Catalyst Nightclub, et al (Large File - No Med Chron)/Medical & Billing Records",1,11,405,1,43.2 MB,".pdf(10), .boxnote(1)"
"Apara v. The Catalyst Nightclub, et al (Large File - No Med Chron)/Medical & Billing Records/*Duplicates",2,3,86,0,4.1 MB,.pdf(3)
"Apara v. The Catalyst Nightclub, et al (Large File - No Med Chron)/Police Report",1,1,13,0,1.9 MB,.pdf(1)
"Apara v. The Catalyst Nightclub, et al (Large File - No Med Chron)/Requests for Production of Docs",1,2,50,0,5.2 MB,.pdf(2)
"Apara v. The Catalyst Nightclub, et al (Large File - No Med Chron)/W2s & 1040's",1,1,19,0,6.6 MB,.pdf(1)
